n,m,l,compression_ratio,independent_nonlinear_gain,independent_mse,structured_nonlinear_gain,structured_mse,nonlinear_gain_increase
32,8,2,4.0,0.1586742547012888,0.011673988774418831,0.0016453843283079628,0.06022049859166145,-0.15702887037298083
64,16,2,4.0,0.06959930501326247,0.013179223984479904,0.000612077163684662,0.06256543844938278,-0.06898722784957781
64,8,2,8.0,0.13998784381527804,0.019254043698310852,-1.1217920052887666e-06,0.07305852323770523,-0.13998896560728333
128,16,2,8.0,0.12207546376829212,0.020682159811258316,-5.412301277704828e-06,0.0729602500796318,-0.12208087606956983
