n,m,l,S,mean,ci_low,ci_high,std,ci_rel
128,16,1,0.85,0.03315813094377518,0.033048518002033234,0.03327382355928421,5.231500472291373e-05,0.006794881099692186
128,16,1,0.9,0.021608926355838776,0.02153707854449749,0.021689243614673615,4.008458199677989e-05,0.007041769112930003
128,16,1,0.95,0.009753674268722534,0.009697762317955494,0.009811517782509327,3.0248655093600973e-05,0.011662832017941879
128,16,2,0.85,0.022477423772215843,0.02239776961505413,0.022576766088604927,4.6228513383539394e-05,0.007963389192851032
128,16,2,0.9,0.0120444530621171,0.011985247023403645,0.012103497982025146,2.9171300411690027e-05,0.009817876993803196
128,16,2,0.95,0.003727436764165759,0.0036776189226657152,0.0037581566721200943,1.9864279238390736e-05,0.021606737967667256
128,16,3,0.85,0.01815827749669552,0.018073085695505142,0.018224989995360374,3.885421028826386e-05,0.008365567707778234
128,16,3,0.9,0.00909514632076025,0.009049015119671822,0.009137661196291447,2.2557573174708523e-05,0.009746525618536206
128,16,3,0.95,0.0029805998783558607,0.0029510383028537035,0.003009303705766797,1.5752908439026214e-05,0.019548213544594774
128,16,4,0.85,0.016951536759734154,0.016876302659511566,0.017029182985424995,3.8002235669409856e-05,0.009018670583104516
128,16,4,0.9,0.006832396145910025,0.006788219790905714,0.006870753597468138,2.0369547200971283e-05,0.012079774767133443
128,16,4,0.95,0.002515963977202773,0.0024879041593521833,0.0025433290284126997,1.4969204130466096e-05,0.02202927766960211
128,2,1,0.85,0.04300418496131897,0.04292832314968109,0.043117646127939224,5.348720878828317e-05,0.004402431494246979
128,2,1,0.9,0.029781069606542587,0.02970261313021183,0.029858801513910294,4.366596840554848e-05,0.0052445525215169065
128,2,1,0.95,0.015479963272809982,0.015422179363667965,0.015548688359558582,3.461471715127118e-05,0.008172435144780093
128,2,2,0.9,0.027936916798353195,0.027866123244166374,0.02801339142024517,4.387097942526452e-05,0.00527145415300365
128,2,3,0.9,0.02538934536278248,0.02531689777970314,0.025468487292528152,4.132914182264358e-05,0.005970595565146905
128,2,4,0.9,0.025268005207180977,0.025195840746164322,0.025347867980599403,4.26402002631221e-05,0.006016590276460624
128,32,1,0.85,0.02254343219101429,0.022465607151389122,0.022627821192145348,4.428196552908048e-05,0.007195623070247634
128,32,1,0.9,0.012483273632824421,0.012436090037226677,0.012550539337098598,3.326240403112024e-05,0.009168212060254794
128,32,1,0.95,0.003991476260125637,0.003960983362048864,0.004030066542327404,1.9211411199648865e-05,0.017307676602933163
