n,m,l,seed,linearity_score,mse_full,mse_linear,nonlinear_gain,effective_rank,rank_ratio,top_1_var_fraction,top_3_var_fraction,final_layer_rank_ratio
64,8,1,0,0.9930001306347549,0.024828316643834114,0.0249383132904768,0.004410747481354906,7.827393531799316,0.9784241914749146,0.18705923855304718,0.5105558633804321,0.9755386710166931
64,8,1,1,0.9945564633235335,0.024034125730395317,0.024107612669467926,0.003048286431232369,7.945641040802002,0.9932051301002502,0.17214427888393402,0.4696674942970276,0.99032062292099
64,8,1,2,0.9943771376274526,0.02414415217936039,0.024216201156377792,0.002975237395814795,7.868285655975342,0.9835357069969177,0.19483309984207153,0.5107908248901367,0.9788341522216797
64,8,2,0,0.9879279527813196,0.023732516914606094,0.023871833458542824,0.005836019500491209,7.76378870010376,0.97047358751297,0.22990436851978302,0.5441575646400452,0.9702671766281128
64,8,2,1,0.9907320672646165,0.023432711139321327,0.023562723770737648,0.005517722717632295,7.8634209632873535,0.9829276204109192,0.21093496680259705,0.5144132971763611,0.978481113910675
64,8,2,2,0.9903644202277064,0.0230481568723917,0.023178784176707268,0.0056356384771230434,7.914545059204102,0.9893181324005127,0.19131948053836823,0.49647557735443115,0.9864543080329895
64,8,3,0,0.9869015961885452,0.023532379418611526,0.023647166788578033,0.004854168046899835,7.700713157653809,0.9625891447067261,0.29170143604278564,0.57752925157547,0.9623132944107056
64,8,3,1,0.9885359536856413,0.0252461526542902,0.025347156450152397,0.003984816056691441,7.047725200653076,0.8809656500816345,0.24417062103748322,0.604070246219635,0.8852644562721252
64,8,3,2,0.9896656274795532,0.025837412104010582,0.025918297469615936,0.003120781158267233,6.825387001037598,0.8531733751296997,0.2951064705848694,0.7203657031059265,0.8534431457519531
64,8,4,0,0.9734950587153435,0.027523189783096313,0.02778470329940319,0.009412136576283994,5.1658830642700195,0.6457353830337524,0.3396713435649872,0.7749565839767456,0.6414288878440857
64,8,4,1,0.9796707928180695,0.02711983025074005,0.02733556181192398,0.007891971774661239,4.303217887878418,0.5379022359848022,0.3852090537548065,0.9151362776756287,0.5369299650192261
64,8,4,2,0.9583596289157867,0.0263093002140522,0.026640649884939194,0.012437742620418942,5.192574501037598,0.6490718126296997,0.41620486974716187,0.8448144197463989,0.6429672241210938
