n,m,l,sparsity,compression_ratio,linearity_score,nonlinear_gain,mse_full,mse_linear,top1_variance,effective_dim,seed,actual_compression
32,8,1,0.1,4.0,0.9646823033690453,-0.001241974643505641,0.029225777834653854,0.029189525172114372,0.27701446413993835,5.354714870452881,0,4.0
32,8,1,0.1,4.0,0.9714182075113058,-0.0012023380693724315,0.02764122560620308,0.027608031406998634,0.35815489292144775,4.509705066680908,1,4.0
32,8,2,0.1,4.0,0.9833234287798405,-0.00037427247428288487,0.029507983475923538,0.029496943578124046,0.6048812866210938,2.317580223083496,0,4.0
32,8,2,0.1,4.0,0.9854750093072653,-0.0003056798761107426,0.02864796109497547,0.028639206662774086,0.6082549095153809,2.1762030124664307,1,4.0
32,8,3,0.1,4.0,0.9547193832695484,-0.0004886024154690524,0.030172958970069885,0.03015822358429432,0.9209834933280945,1.1724154949188232,0,4.0
32,8,3,0.1,4.0,0.9871895182877779,-0.0006321013788510849,0.02844526246190071,0.02842729352414608,0.9522618651390076,1.1004623174667358,1,4.0
32,8,4,0.1,4.0,0.9752304926514626,-0.0007014695217964127,0.030100863426923752,0.030079763382673264,0.9991866946220398,1.0016282796859741,0,4.0
32,8,4,0.1,4.0,0.972692396491766,-0.0008882106438267206,0.028721865266561508,0.028696376830339432,0.9998468160629272,1.0003066062927246,1,4.0
32,4,1,0.1,8.0,0.9785125516355038,-0.00046694843259850787,0.029596034437417984,0.029582221060991287,0.43057340383529663,3.2214293479919434,0,8.0
32,4,1,0.1,8.0,0.9773683976382017,-0.0004252772814482028,0.029046276584267616,0.029033929109573364,0.455914705991745,3.1204276084899902,1,8.0
32,4,2,0.1,8.0,0.9872571285814047,-0.0009376163619998799,0.02948056533932686,0.02945294976234436,0.6398760676383972,2.0411088466644287,0,8.0
32,4,2,0.1,8.0,0.9844036009162664,-0.00033226243026426844,0.0289474967867136,0.02893788181245327,0.5408990383148193,2.5027501583099365,1,8.0
32,4,3,0.1,8.0,0.981791602447629,0.00015453032511532867,0.029912376776337624,0.029916999861598015,0.9636714458465576,1.0754576921463013,0,8.0
32,4,3,0.1,8.0,0.9874176476150751,-1.8619806677095526e-05,0.028910841792821884,0.028910303488373756,0.9873324632644653,1.0257083177566528,1,8.0
32,4,4,0.1,8.0,0.9743438437581062,-0.0004917682387037157,0.030289551243185997,0.030274663120508194,0.9996006488800049,1.0007989406585693,0,8.0
32,4,4,0.1,8.0,0.9812127240002155,-0.0005336740388679702,0.02863514982163906,0.028619876131415367,0.9948683381080627,1.0103235244750977,1,8.0
32,2,1,0.1,16.0,0.9659428857266903,-0.0007250088395374122,0.030957365408539772,0.030934937298297882,0.686170220375061,1.7564854621887207,0,16.0
32,2,1,0.1,16.0,0.9682972617447376,-0.0009279737100344967,0.02926425263285637,0.02923712134361267,0.5834967494010925,1.945739507675171,1,16.0
32,2,2,0.1,16.0,0.9832427892833948,-0.0011287785768429469,0.03007473796606064,0.03004082851111889,0.6498368978500366,1.8351917266845703,0,16.0
32,2,2,0.1,16.0,0.9872961603105068,-0.0003644171905706605,0.028991615399718285,0.028981054201722145,0.6273447275161743,1.878169298171997,1,16.0
32,2,3,0.1,16.0,0.98319355212152,-0.00029319380661979507,0.030064601451158524,0.030055789276957512,0.9393467307090759,1.1286031007766724,0,16.0
32,2,3,0.1,16.0,0.9913466684520245,-3.451226903201705e-05,0.028551381081342697,0.028550395742058754,0.84051513671875,1.366304874420166,1,16.0
32,2,4,0.1,16.0,0.9478407353162766,-0.0013140152636912325,0.030450042337179184,0.030410083010792732,0.9999373555183411,1.0001252889633179,0,16.0
32,2,4,0.1,16.0,0.9457318782806396,-0.0001962796045122116,0.028607722371816635,0.028602108359336853,0.9971175193786621,1.005781650543213,1,16.0
32,1,1,0.1,32.0,0.9792542271316051,-0.0008732035899731811,0.03100842982530594,0.03098137676715851,1.0,1.0,0,32.0
32,1,1,0.1,32.0,0.9841338843107224,-0.00021257328452534453,0.030113883316516876,0.03010748326778412,1.0,1.0,1,32.0
32,1,2,0.1,32.0,0.9862496517598629,-0.00021590875082866338,0.03075326234102249,0.030746623873710632,1.0,1.0,0,32.0
32,1,2,0.1,32.0,0.9864349383860826,-0.00016896863574346622,0.030044415965676308,0.030039340257644653,1.0,1.0,1,32.0
32,1,3,0.1,32.0,0.9910313794389367,-0.00018267881431367772,0.0302272979170084,0.03022177703678608,1.0,1.0,0,32.0
32,1,3,0.1,32.0,0.9826965220272541,0.00042371469278654824,0.029128653928637505,0.029141001403331757,1.0,1.0,1,32.0
32,1,4,0.1,32.0,0.9318779483437538,-0.0015420358040553479,0.030693208798766136,0.030645951628684998,1.0,1.0,0,32.0
32,1,4,0.1,32.0,0.9877530513331294,-0.00019935787158713,0.028446432203054428,0.02844076231122017,1.0,1.0,1,32.0
64,16,1,0.1,4.0,0.9882856644690037,-0.0014430128345519807,0.025431891903281212,0.025395246222615242,0.15892162919044495,11.088888168334961,0,4.0
64,16,1,0.1,4.0,0.9864389728754759,-0.001530207597599611,0.026852164417505264,0.026811137795448303,0.18874403834342957,10.078215599060059,1,4.0
64,16,2,0.1,4.0,0.99244594713673,-0.0009545793233013513,0.02757241018116474,0.027546115219593048,0.2987118661403656,5.920081615447998,0,4.0
64,16,2,0.1,4.0,0.9925174945965409,-0.0008371698325875717,0.02750534564256668,0.02748233824968338,0.22447285056114197,6.965213298797607,1,4.0
64,16,3,0.1,4.0,0.9909594338387251,-0.0003865803249895849,0.02846764400601387,0.028456643223762512,0.3742624521255493,3.5885231494903564,0,4.0
64,16,3,0.1,4.0,0.9882793528959155,-0.0004451071233475895,0.030214499682188034,0.030201056972146034,0.6031326055526733,2.0125184059143066,1,4.0
64,16,4,0.1,4.0,0.9854055130854249,-0.0001000720810469649,0.029597677290439606,0.02959471568465233,0.9962432384490967,1.0075478553771973,0,4.0
