depth,nonlinear_gain_mean,nonlinear_gain_std,separation_score_mean,separation_score_std,mse_full_mean,mse_full_std,feature_similarity_mean,feature_similarity_std
1,0.1130349588211385,0.03752342886659369,0.3735089699427287,0.1921683849846048,0.019953164582451183,0.0005138255529544631,0.6264910300572714,0.1921683849846048
2,0.13173484523845916,0.006970835703381494,0.2872921824455261,0.032583217087272145,0.019216271117329597,0.0006161753866202343,0.7127078175544739,0.032583217087272145
3,0.1000006009957649,0.009549438400157017,0.10415548086166382,0.02376790432759318,0.019687963649630547,0.0003800614709378226,0.8958445191383362,0.02376790432759318
4,0.09395576654222466,0.018115701431902137,0.12167878945668538,0.023498339006222467,0.020495650668938954,0.000617878953861136,0.8783212105433146,0.023498339006222464
5,0.09918534128672811,0.011295671785723242,0.13358378410339355,0.028751514394689103,0.023193160071969032,0.0004690604420761445,0.8664162158966064,0.028751514394689103
6,0.09618202197443032,0.013450114152924669,0.05361715952555338,0.029311613728865142,0.025535474841793377,0.0009369227475513901,0.9463828404744467,0.02931161372886513
