depth,m,compression_ratio,nonlinear_gain_mean,nonlinear_gain_std,linearity_score_mean,linearity_score_std,mse_full_mean
1,4,16.0,0.05923929965415631,0.015814318962238245,0.9142548690239588,0.017998771954425417,0.024668998395403225
1,8,8.0,0.1130349588211385,0.03752342886659369,0.9361493028700352,0.012753383561177408,0.019953164582451183
1,16,4.0,0.1521110738351538,0.05311226717714839,0.9745167940855026,0.006407458404571445,0.012675070203840733
1,32,2.0,-0.00012133596669345482,4.782002952213491e-05,0.9999075756240927,5.622653599520241e-05,0.009895756530265013
2,4,16.0,0.07919681924811284,0.004061577666335992,0.9019186695416769,0.009572491462704755,0.02350092555085818
2,8,8.0,0.13173484523845916,0.006970835703381494,0.9057567740480105,0.004302914448279317,0.019216271117329597
2,16,4.0,0.0774768768010692,0.01614872876228795,0.9772714028755823,0.004409746752369567,0.013621567748486996
2,32,2.0,0.0011254967250532602,0.002753382791523351,0.9995592089981074,0.0003439599936476243,0.010369972015420595
3,4,16.0,0.0991822704408014,0.00757933235826764,0.887005127966404,0.019473587784125976,0.023118356242775917
3,8,8.0,0.1000006009957649,0.009549438400157017,0.9173685386776924,0.010332649941863701,0.019687963649630547
3,16,4.0,0.06814329037765098,0.0028494428246910704,0.9739847686141729,0.001717138317098305,0.014785195079942545
3,32,2.0,0.06422768836432548,0.017155049200902953,0.9817553637549281,0.003411487319420453,0.013159232214093208
4,4,16.0,0.09559777487742022,0.00518243482677932,0.8844131802519163,0.013553919325386967,0.023337113360563915
4,8,8.0,0.09395576654222466,0.018115701431902137,0.9117723281184832,0.02093465808779307,0.020495650668938954
4,16,4.0,0.08412597577835275,0.008813773654454377,0.9080690493186315,0.019734596108198155,0.020645625268419582
4,32,2.0,0.07089498032489869,0.0062832965853413456,0.9261079976956049,0.006708510134437624,0.020064860582351685
5,4,16.0,0.1003800152836599,0.008910663301297023,0.8438069820404053,0.007830202955390506,0.024624761193990707
5,8,8.0,0.09918534128672811,0.011295671785723242,0.8704530547062556,0.03191223969901934,0.023193160071969032
5,16,4.0,0.09184567036799475,0.005464448429944629,0.8703042715787888,0.015230736543140699,0.023579688121875126
5,32,2.0,0.09704175749974168,0.005294767504190279,0.856122742096583,0.02063677233265963,0.023255466173092525
6,4,16.0,0.09638881749246771,0.003996468182590901,0.8580508703986803,0.02120931261915888,0.025461071481307346
6,8,8.0,0.09618202197443032,0.013450114152924669,0.8474841391046842,0.032073719979273815,0.025535474841793377
6,16,4.0,0.09081633623181473,0.011609182800550373,0.8747429673870405,0.017099526887733384,0.02467416288952033
6,32,2.0,0.09426047919044678,0.0020706732265808716,0.8639004603028297,0.031804587461543556,0.02408764325082302
7,4,16.0,0.11664178118175737,0.015618734700949113,0.87653365979592,0.029340794120316493,0.02584616094827652
7,8,8.0,0.11755830870291246,0.005268122996726098,0.8181066115697225,0.03824098532550428,0.026122167706489563
7,16,4.0,0.11061388870368909,0.006005179792930098,0.8353875130414963,0.003929915025781404,0.026106886565685272
7,32,2.0,0.11387488747279058,0.024663080097376323,0.8355558713277181,0.03627017427970799,0.02560536687572797
8,4,16.0,0.08613761908300771,0.020483101726430576,0.885114478568236,0.023611583590855415,0.026970943436026573
8,8,8.0,0.09585633100304915,0.06608846360579422,0.9003007610638937,0.04945502725490638,0.02820437029004097
8,16,4.0,0.12016066007466197,0.03687850776194036,0.8729626635710398,0.07868680507433957,0.027950155238310497
8,32,2.0,0.11177361030489456,0.09724791958410582,0.863212821384271,0.04439385366461621,0.02812180295586586
