n,m,l,sparsity,compression_ratio,linearity_score,nonlinear_gain,mse_full,mse_linear,top1_variance,seed
64,4,2,0.03,16.0,0.9932092842645943,0.000608938557962463,0.00874600000679493,0.00875132903456688,0.3323977589607239,0
64,4,2,0.03,16.0,0.9938390268944204,0.0002253793089032489,0.009349153377115726,0.009351260960102081,0.3507528007030487,1
64,4,2,0.03,16.0,0.9924695924855769,0.0004818979315028375,0.008673244155943394,0.008677425794303417,0.3497621715068817,2
64,6,2,0.03,10.666666666666666,0.9942498356103897,-6.369848945940789e-05,0.00837823934853077,0.008377705700695515,0.2539603114128113,0
64,6,2,0.03,10.666666666666666,0.9908858742564917,0.0006486341519700333,0.008998183533549309,0.009004023857414722,0.2952227294445038,1
64,6,2,0.03,10.666666666666666,0.9942784588783979,0.0004996341558088379,0.008450910449028015,0.008455134928226471,0.23233212530612946,2
64,8,2,0.03,8.0,0.9942046175710857,0.00017973978240359772,0.008314810693264008,0.008316305465996265,0.24098259210586548,0
64,8,2,0.03,8.0,0.9922147961333394,-0.0001986692508251641,0.009049249812960625,0.009047452360391617,0.2591231167316437,1
64,8,2,0.03,8.0,0.9943724758923054,0.00010620435934502975,0.008566545322537422,0.008567455224692822,0.2811839282512665,2
64,12,2,0.03,5.333333333333333,0.9935839660465717,-0.00018114322446392863,0.008165949024260044,0.008164470084011555,0.22523309290409088,0
64,12,2,0.03,5.333333333333333,0.9945497387088835,4.632628487678866e-05,0.008845140226185322,0.008845550008118153,0.2696956694126129,1
64,12,2,0.03,5.333333333333333,0.9933245107531548,-0.0003837486929861139,0.008393028751015663,0.008389809168875217,0.2386513203382492,2
64,16,2,0.03,4.0,0.9955858392640948,-1.6152251622771143e-05,0.007841739803552628,0.00784161314368248,0.2007991373538971,0
64,16,2,0.03,4.0,0.9954837555997074,-2.0868485157735777e-05,0.008747296407818794,0.00874711386859417,0.194825679063797,1
64,16,2,0.03,4.0,0.9948606481775641,-0.000590849125979274,0.008114558644592762,0.008109766989946365,0.1777491420507431,2
64,24,2,0.03,2.6666666666666665,0.9952737633138895,-0.00045157422181964707,0.007713720202445984,0.007710238453000784,0.25554609298706055,0
64,24,2,0.03,2.6666666666666665,0.9948494462296367,-0.00025128866416993987,0.008559724316000938,0.008557573892176151,0.20228387415409088,1
64,24,2,0.03,2.6666666666666665,0.9957025786861777,-0.00013521863818893843,0.007969941012561321,0.007968863472342491,0.22990979254245758,2
64,32,2,0.03,2.0,0.9950313214212656,-0.00032790784795503036,0.0074394820258021355,0.007437043357640505,0.25516441464424133,0
64,32,2,0.03,2.0,0.9949240842834115,-0.0008350315185820012,0.008696659468114376,0.008689403533935547,0.2503405809402466,1
64,32,2,0.03,2.0,0.9947357047349215,-0.0002876130514398629,0.007639267947524786,0.007637071423232555,0.2354675531387329,2
64,4,2,0.05,16.0,0.9925347343087196,0.00047852989886728014,0.014072179794311523,0.014078916981816292,0.3641311228275299,0
64,4,2,0.05,16.0,0.9945252863690257,0.0003121741980272381,0.015037307515740395,0.015042003244161606,0.3410618007183075,1
64,4,2,0.05,16.0,0.993464348372072,0.0002911633463256449,0.014997176826000214,0.01500154472887516,0.33047470450401306,2
64,6,2,0.05,10.666666666666666,0.994812348857522,-1.1698566689696572e-06,0.013533701188862324,0.013533685356378555,0.26545560359954834,0
64,6,2,0.05,10.666666666666666,0.9921735692769289,0.0004155685807106099,0.014408628456294537,0.014414618723094463,0.3201509714126587,1
64,6,2,0.05,10.666666666666666,0.9934435663744807,0.0001908585615821424,0.014309265650808811,0.014311997219920158,0.2343822866678238,2
64,8,2,0.05,8.0,0.9945837086997926,-0.0004107610629579823,0.013276005163788795,0.013270554132759571,0.2530580163002014,0
64,8,2,0.05,8.0,0.9939134418964386,-0.0007809426965585969,0.014169142581522465,0.01415808591991663,0.2079281359910965,1
64,8,2,0.05,8.0,0.9945276104845107,-0.00010278490597750505,0.014299541711807251,0.014298072084784508,0.2977146804332733,2
64,12,2,0.05,5.333333333333333,0.9946548081934452,-0.0006682029125219212,0.01289681252092123,0.012888200581073761,0.2449747771024704,0
64,12,2,0.05,5.333333333333333,0.9947204510681331,-0.00023036667417666572,0.014027636498212814,0.014024405740201473,0.23216600716114044,1
64,12,2,0.05,5.333333333333333,0.9942657207138836,-0.00036913131384945963,0.014202216640114784,0.014196976087987423,0.22965498268604279,2
64,16,2,0.05,4.0,0.9958903114311397,-0.0004830742806965532,0.01248922199010849,0.012483191676437855,0.22979232668876648,0
64,16,2,0.05,4.0,0.9956088466569781,-0.00033722652684613496,0.013774530030786991,0.013769886456429958,0.2066730558872223,1
64,16,2,0.05,4.0,0.9955328982323408,-0.0005799981063587058,0.013438137248158455,0.013430347666144371,0.1821664571762085,2
64,24,2,0.05,2.6666666666666665,0.9947276036255062,-0.0004575374666488571,0.012336757965385914,0.012331116013228893,0.2691361904144287,0
64,24,2,0.05,2.6666666666666665,0.9947967887856066,-0.0006864864323446686,0.013273073360323906,0.01326396781951189,0.22831924259662628,1
64,24,2,0.05,2.6666666666666665,0.9957175157032907,-0.0005799901529137106,0.013181251473724842,0.013173610903322697,0.2739461064338684,2
64,32,2,0.05,2.0,0.9953331048600376,-0.0013176369570618975,0.01179312914609909,0.011777610518038273,0.2763650119304657,0
64,32,2,0.05,2.0,0.9955600169487298,-0.0008839654297835078,0.01331311371177435,0.013301355764269829,0.3015846908092499,1
64,32,2,0.05,2.0,0.9950670418329537,-0.0009793801512028007,0.012868211604654789,0.012855621054768562,0.28076794743537903,2
64,4,2,0.08,16.0,0.9924243791028857,0.00014546773068631685,0.02246866188943386,0.02247193083167076,0.35739850997924805,0
64,4,2,0.08,16.0,0.9934365404769778,0.0005850673734842021,0.023271525278687477,0.023285148665308952,0.32487210631370544,1
64,4,2,0.08,16.0,0.9937847969122231,0.0007599928364669385,0.023456601426005363,0.023474441841244698,0.32909640669822693,2
64,6,2,0.08,10.666666666666666,0.9932894664816558,-4.672598616959391e-05,0.021846018731594086,0.021844998002052307,0.2726852297782898,0
64,6,2,0.08,10.666666666666666,0.9930600509978831,0.00018835826948304923,0.02266094647347927,0.02266521565616131,0.3014153838157654,1
64,6,2,0.08,10.666666666666666,0.9941379283554852,0.000158656109407379,0.022572699934244156,0.022576281800866127,0.24014237523078918,2
64,8,2,0.08,8.0,0.9950399650260806,-0.00021524352176261678,0.02085980959236622,0.020855320617556572,0.23024150729179382,0
64,8,2,0.08,8.0,0.9944426342844963,-0.0005862444376879956,0.022091643884778023,0.022078700363636017,0.26021715998649597,1
64,8,2,0.08,8.0,0.9951621880754828,-0.000312564654946389,0.02227659896016121,0.022269638255238533,0.29234015941619873,2
64,12,2,0.08,5.333333333333333,0.9951686034910381,-0.0009559987460970495,0.02043069154024124,0.020411178469657898,0.2998024523258209,0
